iter	Logloss
0	0.6305626797
1	0.5941075072
2	0.5546819654
3	0.5294031261
4	0.5016387986
5	0.4892090209
6	0.4688295602
7	0.4524857128
8	0.4383523552
9	0.4268013679
10	0.415616439
11	0.4085307811
12	0.4066997503
13	0.4002473305
14	0.3940418494
15	0.3913728635
16	0.3878000227
17	0.3826507824
18	0.3780867862
19	0.3743382575
20	0.3705064682
21	0.367307808
22	0.365545819
23	0.3607337285
24	0.3591453198
25	0.3580653058
26	0.3552280428
27	0.35264014
28	0.3490132502
29	0.346216635
30	0.3432807328
31	0.341961793
32	0.3400601181
33	0.3385206905
34	0.3371202369
35	0.3362527912
36	0.3310240444
37	0.3301328611
38	0.3260396227
39	0.3237925476
40	0.3225553384
41	0.3203910847
42	0.3168562389
43	0.3141576746
44	0.3127177392
45	0.3118757962
46	0.3101836997
47	0.3090070428
48	0.3071374772
49	0.3055556427
50	0.30504432
51	0.3045558413
52	0.3025048644
53	0.3016451135
54	0.2999445821
55	0.2990004217
56	0.2955709652
57	0.2929946852
58	0.2924119496
59	0.2920944946
60	0.2909601385
61	0.28971394
62	0.2887735411
63	0.2884792798
64	0.2871970319
65	0.2856079223
66	0.2824508033
67	0.2805372892
68	0.279450722
69	0.2786144423
70	0.2776098701
71	0.2753456988
72	0.2744111457
73	0.2715644766
74	0.2708802738
75	0.2696918248
76	0.2666614026
77	0.2625225206
78	0.2613120424
79	0.2602548349
80	0.2592245587
81	0.2575005108
82	0.2548488343
83	0.2547626265
84	0.2546160546
85	0.252161024
86	0.2513021588
87	0.2510408231
88	0.2506165573
89	0.2496812678
90	0.2493014867
91	0.2477308366
92	0.2464891823
93	0.2454145468
94	0.2445338812
95	0.2444870118
96	0.2426159164
97	0.2418140272
98	0.2405527916
99	0.2371975335
