iter	Passed	Remaining
0	142	14060
1	144	7060
2	145	4701
3	146	3516
4	148	2821
5	149	2349
6	152	2020
7	154	1773
8	156	1579
9	158	1423
10	159	1292
11	161	1184
12	162	1087
13	164	1008
14	166	943
15	167	880
16	169	827
17	171	780
18	172	736
19	174	697
20	176	662
21	177	630
22	179	600
23	181	574
24	183	550
25	185	528
26	187	507
27	189	487
28	191	467
29	192	449
30	194	432
31	195	416
32	197	400
33	199	387
34	201	374
35	203	361
36	204	348
37	206	337
38	208	325
39	209	314
40	211	304
41	213	295
42	216	286
43	217	277
44	219	268
45	221	259
46	223	251
47	224	243
48	226	235
49	228	228
50	229	220
51	231	213
52	233	206
53	235	200
54	236	193
55	238	187
56	239	180
57	241	174
58	242	168
59	244	162
60	246	157
61	247	151
62	249	146
63	251	141
64	253	136
65	255	131
66	257	126
67	259	122
68	261	117
69	263	113
70	266	108
71	267	104
72	269	99
73	270	95
74	272	90
75	273	86
76	275	82
77	277	78
78	279	74
79	281	70
80	283	66
81	285	62
82	287	58
83	288	54
84	290	51
85	291	47
86	293	43
87	295	40
88	297	36
89	299	33
90	301	29
91	302	26
92	304	22
93	306	19
94	309	16
95	310	12
96	312	9
97	314	6
98	316	3
99	318	0
