iter	RMSE
0	1.331385788
1	1.256570502
2	1.194284177
3	1.13670468
4	1.089383275
5	1.051013449
6	1.011840872
7	0.9760262368
8	0.9492010305
9	0.9252006956
10	0.9037260434
11	0.8847333108
12	0.8659323618
13	0.8471459713
14	0.826353605
15	0.804679555
16	0.7894254569
17	0.7746612855
18	0.7551510512
19	0.7434585663
20	0.729847348
21	0.7138064493
22	0.7048185671
23	0.6938552014
24	0.6822217875
25	0.6705147966
26	0.6622907317
27	0.6508907394
28	0.6400998929
29	0.6311262581
30	0.6211221328
31	0.6146681725
32	0.6090460911
33	0.6010055758
34	0.5945421573
35	0.5887712922
36	0.58403859
37	0.5792532582
38	0.5732191553
39	0.5697772174
40	0.5651386025
41	0.5598796005
42	0.5554790566
43	0.5523017669
44	0.5495348939
45	0.5443351374
46	0.5407277284
47	0.5358839244
48	0.5316147427
49	0.5281394378
50	0.523820087
51	0.5205487159
52	0.5170461331
53	0.5139579855
54	0.5112394253
55	0.5089403254
56	0.5067610381
57	0.504475762
58	0.5024690779
59	0.499460526
60	0.4977699248
61	0.4953580971
62	0.492774566
63	0.4912015787
64	0.4898810863
65	0.487022888
66	0.4847147409
67	0.4835452464
68	0.4815029132
69	0.4798560041
70	0.4780948629
71	0.4767136396
72	0.4758091219
73	0.4745076073
74	0.4728433855
75	0.4708727096
76	0.4690357218
77	0.4674359611
78	0.465805738
79	0.464383985
80	0.463227888
81	0.4615264349
82	0.4602437885
83	0.4592355515
84	0.4582565434
85	0.4567895389
86	0.4555395039
87	0.4546323965
88	0.4533340205
89	0.4515414668
90	0.4503219349
91	0.4492660061
92	0.4481079702
93	0.4469984395
94	0.445619463
95	0.4443734298
96	0.4425818593
97	0.441311926
98	0.4403594797
99	0.4395237428
