iter	Passed	Remaining
0	195	19316
1	197	9656
2	198	6429
3	200	4821
4	202	3854
5	205	3212
6	206	2749
7	208	2401
8	210	2129
9	212	1912
10	214	1738
11	216	1588
12	218	1462
13	220	1354
14	222	1260
15	224	1177
16	226	1103
17	227	1038
18	230	980
19	231	927
20	233	879
21	235	836
22	237	796
23	239	759
24	241	725
25	243	694
26	245	664
27	247	636
28	249	610
29	251	586
30	253	564
31	255	542
32	257	522
33	259	503
34	261	485
35	263	467
36	265	451
37	267	435
38	269	421
39	271	407
40	273	393
41	275	380
42	277	367
43	279	355
44	280	343
45	283	332
46	285	321
47	287	311
48	289	301
49	291	291
50	293	281
51	295	272
52	297	263
53	299	255
54	301	246
55	303	238
56	305	230
57	307	222
58	309	214
59	311	207
60	312	199
61	315	193
62	317	186
63	319	179
64	321	173
65	323	166
66	325	160
67	327	153
68	328	147
69	331	142
70	333	136
71	335	130
72	337	124
73	339	119
74	341	113
75	343	108
76	345	103
77	348	98
78	350	93
79	351	87
80	353	83
81	355	78
82	357	73
83	361	68
84	363	64
85	366	59
86	368	54
87	369	50
88	371	45
89	374	41
90	376	37
91	379	33
92	381	28
93	384	24
94	386	20
95	388	16
96	391	12
97	393	8
98	396	4
99	398	0
